Project Units: meters
Units & Scale - Active, Translate - Active, Rotate - Active

Object Point ID,Photo #,X (pixels),Y (pixels),Residual X,Residual Y,Residual Vector,Mark Type,Layer,Material,Tagged
317,1,5007.666667,7275.666667,0.070413,0.697787,0.701330,Non-sub-pixel,Default,White, 
317,2,1453.666667,1012.333333,1.141057,1.236535,1.682567,Non-sub-pixel,Default,White, 
317,3,4060.000000,912.333333,0.572787,0.387910,0.691779,Non-sub-pixel,Default,White, 
317,4,6751.911854,1015.961089,1.761635,-0.126572,1.766176,Non-sub-pixel,Default,White, 
333,1,2158.250000,1135.500000,0.772146,0.875544,1.167385,Non-sub-pixel,Default,White, 
333,2,4039.000000,7293.333333,-1.446654,-0.877513,1.691991,Non-sub-pixel,Default,White, 
333,3,6455.659259,7294.808042,-1.281581,-0.283135,1.312485,Non-sub-pixel,Default,White, 
347,2,5892.051852,11172.177691,0.280573,-0.161917,0.323942,Non-sub-pixel,Default,White, 
347,3,8197.333333,11243.666667,-0.505970,0.109472,0.517677,Non-sub-pixel,Default,White, 
351,2,148.666667,11965.666667,-0.477301,0.267729,0.547262,Non-sub-pixel,Default,White, 
351,3,2409.155556,11859.132296,-0.191477,0.070189,0.203936,Non-sub-pixel,Default,White, 
351,4,4767.000000,11933.774319,-0.065942,1.380772,1.382345,Non-sub-pixel,Default,White, 
351,5,5681.000000,5699.775616,0.534276,-2.198849,2.262828,Non-sub-pixel,Default,White, 
375,1,4700.350617,7105.946822,0.853339,-0.133124,0.863660,Non-sub-pixel,Default,White, 
375,3,4354.797531,1106.042802,-0.408156,1.068511,1.143813,Non-sub-pixel,Default,White, 
375,4,7042.500000,1218.887160,-1.154709,0.635849,1.318202,Non-sub-pixel,Default,White, 
403,1,955.138272,12311.166018,-0.054931,0.148853,0.158665,Non-sub-pixel,Default,White, 
410,1,3478.135802,2979.280156,-2.143064,-0.735849,2.265877,Non-sub-pixel,Default,White, 
410,4,7829.606383,5477.000000,2.425244,0.173218,2.431422,Non-sub-pixel,Default,White, 
410,5,3661.446809,12430.666667,-1.476521,-0.157884,1.484938,Non-sub-pixel,Default,White, 
422,1,6936.800000,1211.386511,-0.783884,-1.017600,1.284517,Non-sub-pixel,Default,White, 
422,3,1672.000000,6836.000000,0.737165,-0.157562,0.753815,Non-sub-pixel,Default,White, 
422,4,4180.512158,6874.666667,-0.320457,0.353189,0.476901,Non-sub-pixel,Default,White, 
422,5,7002.735562,10531.333333,1.705221,-0.364229,1.743686,Non-sub-pixel,Default,White, 
428,1,8503.600000,3004.577173,1.283720,0.165235,1.294310,Non-sub-pixel,Default,White, 
428,4,2811.500000,4908.713359,-0.905894,0.948732,1.311768,Non-sub-pixel,Default,White, 
428,5,8635.437690,12250.739300,0.621409,-0.000312,0.621409,Non-sub-pixel,Default,White, 
492,2,1431.000000,1037.000000,-1.128522,-1.360486,1.767621,Non-sub-pixel,Default,White, 
492,3,4034.333333,937.333333,-0.112033,-1.191612,1.196867,Non-sub-pixel,Default,White, 
492,4,6726.434650,1040.129702,-0.460798,-1.725024,1.785509,Non-sub-pixel,Default,White, 
552,3,2189.380247,12119.378729,-0.033563,-0.284717,0.286688,Non-sub-pixel,Default,White, 
552,4,4537.729483,12186.420233,0.697282,-0.762189,1.033022,Non-sub-pixel,Default,White, 
552,5,5865.930091,5420.760052,-0.356333,0.869903,0.940056,Non-sub-pixel,Default,White, 
563,2,4984.000000,7714.333333,1.320659,0.606751,1.453371,Non-sub-pixel,Default,White, 
563,3,7392.600000,7745.875486,0.852716,0.366682,0.928213,Non-sub-pixel,Default,White, 
563,5,1300.744681,10316.106355,-0.439921,1.065072,1.152349,Non-sub-pixel,Default,White, 
590,4,2876.500000,5020.108949,-1.344075,-1.042755,1.701140,Non-sub-pixel,Default,White, 
590,5,8556.000000,12150.285344,-0.174374,1.125551,1.138978,Non-sub-pixel,Default,White, 
607,2,4245.395062,11587.654994,-0.733909,0.733393,1.037539,Non-sub-pixel,Default,White, 
607,3,6530.898765,11607.874189,-0.273525,0.049299,0.277932,Non-sub-pixel,Default,White, 
607,5,1684.000000,6440.813230,-0.255147,-0.906488,0.941711,Non-sub-pixel,Default,White, 
634,2,4870.804938,10911.341115,0.761428,-0.086635,0.766340,Non-sub-pixel,Default,White, 
634,3,7180.170370,10949.792477,0.785498,-0.053654,0.787328,Non-sub-pixel,Default,White, 
651,2,2043.777778,9819.706874,0.281392,-0.357988,0.455343,Non-sub-pixel,Default,White, 
651,3,4377.039506,9766.507134,-0.141653,-0.082643,0.163998,Non-sub-pixel,Default,White, 
651,4,6803.085106,9893.666667,-0.633972,0.163395,0.654689,Non-sub-pixel,Default,White, 
651,5,4005.516717,7983.666667,-0.161480,0.565815,0.588407,Non-sub-pixel,Default,White, 
