Project Units: meters
Units & Scale - Active, Translate - Active, Rotate - Active

Id,Name,Photos (used),X (project units),Y (project units),Z (project units),X Precision,Y Precision,Z Precision,Precision Vector Length,Tightness (percent),Tightness (project units),Angle (deg.),Control Name,RMS Residual (pixels),Largest Residual (pixels),Photo Largest Residual,Material,Layer,Tagged,Type,Use In Processing,Frozen,#Constraints,Target Code,Target Bits,Ref. Check Tag,Photos (marked),Color (R),Color (G),Color (B)
317," ","1,2,3,4",999604.584362,112344.429291,139.446880,0.018165,0.018040,0.038075,0.045882,0.011411,0.180167,14.817101,216,1.221481,1.637248,2,White,Default, ,Control,yes,no,0,n/a,n/a, ,"1,2,3,4",255,255,255
333," ","1,2,3",1000134.490207,112591.173351,138.008924,0.018477,0.018189,0.038496,0.046413,0.003396,0.053620,14.838865,401,1.231641,1.541671,2,White,Default, ,Control,yes,no,0,n/a,n/a, ,"1,2,3",255,255,255
347," ","2,3",1000460.329808,112765.822029,139.451815,0.018726,0.018646,0.038340,0.046565,0.000950,0.014998,6.470629,405,0.459347,0.617595,3,White,Default, ,Control,yes,no,0,n/a,n/a, ,"2,3",255,255,255
351," ","2,3,4,5",1000551.285050,112275.284683,139.865315,0.018263,0.018145,0.038229,0.046089,0.006754,0.106641,15.257311,406,1.244449,2.153048,5,White,Default, ,Control,yes,no,0,n/a,n/a, ,"2,3,4,5",255,255,255
375," ","1,3,4",999619.048099,112370.827895,138.965121,0.018338,0.018249,0.038229,0.046160,0.002720,0.042950,14.648776,305,0.986681,1.202660,4,White,Default, ,Control,yes,no,0,n/a,n/a, ,"1,3,4",255,255,255
403," ","1",999170.673130,112692.547790,139.640808,0.019247,0.019185,0.038606,0.047211,n/a,n/a,n/a,309,0.192105,0.192105,1,White,Default, ,Control,yes,no,0,n/a,n/a, ,"1",255,255,255
410," ","1,4,5",999974.438844,112476.869400,139.710916,0.018353,0.018199,0.038274,0.046184,0.005265,0.083126,25.796695,311,1.831125,2.178720,4,White,Default, ,Control,yes,no,0,n/a,n/a, ,"1,4,5",255,255,255
422," ","1,3,4,5",1000126.753895,112179.095460,138.543173,0.018014,0.017842,0.038217,0.045863,0.014536,0.229510,25.778836,313,1.200530,1.820827,5,White,Default, ,Control,yes,no,0,n/a,n/a, ,"1,3,4,5",255,255,255
428," ","1,4,5",999971.950395,112044.552205,139.541692,0.018472,0.018405,0.038256,0.046297,0.003464,0.054691,25.431105,314,1.027261,1.240202,1,White,Default, ,Control,yes,no,0,n/a,n/a, ,"1,4,5",255,255,255
492," ","2,3,4",999606.913103,112342.354679,139.115822,0.018453,0.018360,0.038077,0.046124,0.002780,0.043899,13.240983,413,1.336357,1.520342,4,White,Default, ,Control,yes,no,0,n/a,n/a, ,"2,3,4",255,255,255
552," ","3,4,5",1000575.065235,112258.190427,139.638492,0.018479,0.018407,0.038287,0.046327,0.002502,0.039511,13.466335,508,0.693711,0.906161,4,White,Default, ,Control,yes,no,0,n/a,n/a, ,"3,4,5",255,255,255
563," ","2,3,5",1000166.789885,112674.287515,138.760647,0.018343,0.018178,0.038391,0.046268,0.001418,0.022387,15.469457,511,0.991674,1.313400,2,White,Default, ,Control,yes,no,0,n/a,n/a, ,"2,3,5",255,255,255
590," ","4,5",999980.986911,112051.067036,139.400337,0.018680,0.018613,0.038347,0.046538,0.005883,0.092891,12.865558,515,1.352649,1.569035,4,White,Default, ,Control,yes,no,0,n/a,n/a, ,"4,5",255,255,255
607," ","2,3,5",1000502.474222,112625.890248,139.646837,0.018279,0.018342,0.038208,0.046157,0.004415,0.069704,15.556806,5212,0.842085,1.014194,2,White,Default, ,Control,yes,no,0,n/a,n/a, ,"2,3,5",255,255,255
634," ","2,3",1000441.905802,112677.080974,139.754739,0.018577,0.018513,0.038297,0.046416,0.000042,0.000659,6.540247,609,0.646900,0.658317,2,White,Default, ,Control,yes,no,0,n/a,n/a, ,"2,3",255,255,255
651," ","2,3,4,5",1000359.458053,112429.750018,139.157479,0.017906,0.017828,0.038282,0.045870,0.002930,0.046256,15.692904,610,0.474805,0.611294,4,White,Default, ,Control,yes,no,0,n/a,n/a, ,"2,3,4,5",255,255,255
745," ","1,2,3,5",1000007.358254,112644.630589,160.200411,0.051913,0.056765,0.298106,0.307871,0.007499,0.118402,25.880515, ,0.626035,0.863850,5,White,Default, ,Regular,yes,no,0,n/a,n/a, ,"1,2,3,5",255,255,255
